File Path,Recipient TransferEvents,Blocker TransferEvents,final Donors,final Reciepients,final Transconjugants,final Blockers,final BlockerTransconjugants
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_100rep_5_BlockerPercent_95_24-08-12-15-25-51/step-00700.pickle,4,301,319,332,12,45593,1444
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_10rep_1_BlockerPercent_45_24-07-06-00-48-12/step-00700.pickle,608,959,11729,8114,6969,8351,13169
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_11rep_1_BlockerPercent_50_24-07-06-01-01-42/step-00700.pickle,564,1155,16460,4136,4446,8620,14111
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_12rep_1_BlockerPercent_55_24-07-06-01-15-20/step-00700.pickle,433,1129,12313,7078,5188,11519,11869
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_13rep_1_BlockerPercent_60_24-07-06-02-15-30/step-00700.pickle,362,1103,7190,3431,5042,18380,14038
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_14rep_1_BlockerPercent_65_24-07-06-03-21-56/step-00700.pickle,269,1100,9013,6106,1104,17563,14047
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_15rep_1_BlockerPercent_70_24-07-06-04-23-35/step-00700.pickle,209,1048,9475,5305,2028,19793,11559
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_16rep_1_BlockerPercent_75_24-07-06-05-40-47/step-00700.pickle,161,977,4291,4571,1427,26635,10874
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_17rep_1_BlockerPercent_80_24-07-06-07-12-37/step-00700.pickle,111,823,2162,6082,1092,31986,6679
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_18rep_1_BlockerPercent_85_24-07-06-07-35-39/step-00700.pickle,76,684,3738,3788,918,29131,10314
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_19rep_1_BlockerPercent_90_24-07-06-14-56-43/step-00700.pickle,32,492,1343,713,113,40218,5383
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_1rep_1_BlockerPercent_0_24-07-05-17-23-33/step-00700.pickle,1315,0,18334,7861,21731,0,0
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_20rep_1_BlockerPercent_95_24-07-06-15-39-53/step-00700.pickle,12,292,329,1095,404,43131,2838
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_21rep_2_BlockerPercent_0_24-07-06-17-00-27/step-00700.pickle,1334,0,27552,4506,16299,0,0
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_22rep_2_BlockerPercent_5_24-07-06-17-45-44/step-00700.pickle,1215,121,26995,2557,16243,269,1781
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_23rep_2_BlockerPercent_10_24-07-06-18-36-23/step-00700.pickle,1166,240,23312,3996,16696,1360,2661
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_24rep_2_BlockerPercent_15_24-07-06-19-49-44/step-00700.pickle,1078,389,24454,4114,14056,2334,2820
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_25rep_2_BlockerPercent_20_24-07-06-21-01-44/step-00700.pickle,1005,537,14750,8221,15981,2753,6212
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_26rep_2_BlockerPercent_25_24-07-06-22-35-36/step-00700.pickle,912,614,15730,5109,9406,6347,11291
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_27rep_2_BlockerPercent_30_24-07-06-23-35-02/step-00700.pickle,842,699,11971,6193,7981,9859,11728
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_28rep_2_BlockerPercent_35_24-07-07-00-45-30/step-00700.pickle,764,838,12581,4625,17027,5063,8564
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_29rep_2_BlockerPercent_40_24-07-07-01-09-02/step-00700.pickle,650,838,17763,4970,6426,5637,13202
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_2rep_1_BlockerPercent_5_24-07-05-18-09-28/step-00700.pickle,1245,131,22824,6605,16579,544,1394
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_30rep_2_BlockerPercent_45_24-07-07-01-39-44/step-00700.pickle,569,994,9618,8007,6944,9983,13152
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_31rep_2_BlockerPercent_50_24-07-07-02-45-49/step-00700.pickle,509,1084,8498,5768,9384,12600,11565
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_32rep_2_BlockerPercent_55_24-07-07-03-55-29/step-00700.pickle,432,1023,7034,6978,7110,19297,7469
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_33rep_2_BlockerPercent_60_24-07-07-04-51-48/step-00700.pickle,368,1077,8687,7233,2325,17689,12056
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_34rep_2_BlockerPercent_65_24-07-07-05-49-54/step-00700.pickle,295,1033,9598,5099,3569,17250,12543
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_35rep_2_BlockerPercent_70_24-07-07-06-12-05/step-00700.pickle,248,1053,5073,3840,2301,28031,8796
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_36rep_2_BlockerPercent_75_24-07-07-07-19-52/step-00700.pickle,159,962,3089,2905,2843,29975,9002
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_37rep_2_BlockerPercent_80_24-07-07-09-04-40/step-00700.pickle,101,885,4798,3827,549,30964,7908
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_38rep_2_BlockerPercent_85_24-07-07-10-08-19/step-00700.pickle,59,735,1674,3839,254,36256,5650
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_39rep_2_BlockerPercent_90_24-08-10-16-09-19/step-00700.pickle,34,520,878,2803,1141,38453,4488
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_3rep_1_BlockerPercent_10_24-07-05-18-23-23/step-00700.pickle,1202,308,22360,6957,12939,2245,3310
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_40rep_2_BlockerPercent_95_24-08-10-16-24-44/step-00700.pickle,11,301,2055,307,26,40125,5652
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_41rep_3_BlockerPercent_0_24-08-10-17-12-04/step-00700.pickle,1279,0,28234,4665,15010,0,0
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_42rep_3_BlockerPercent_5_24-08-10-17-26-34/step-00700.pickle,1254,125,25173,3802,17200,338,1059
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_43rep_3_BlockerPercent_10_24-08-10-17-41-04/step-00700.pickle,1154,249,20449,5775,18447,894,2564
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_44rep_3_BlockerPercent_15_24-08-10-17-55-28/step-00700.pickle,1096,411,22342,7891,12074,1538,4157
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_45rep_3_BlockerPercent_20_24-08-10-19-14-05/step-00700.pickle,968,500,16996,6210,13068,3599,8245
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_46rep_3_BlockerPercent_25_24-08-10-20-22-03/step-00700.pickle,909,610,16540,6813,9684,3804,10818
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_47rep_3_BlockerPercent_30_24-08-10-22-15-53/step-00700.pickle,813,751,15201,6046,12882,5016,8940
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_48rep_3_BlockerPercent_35_24-08-10-23-13-07/step-00700.pickle,782,806,18026,5990,10654,4957,8529
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_49rep_3_BlockerPercent_40_24-08-11-00-21-57/step-00700.pickle,619,893,9152,5112,7958,12829,12501
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_4rep_1_BlockerPercent_15_24-07-05-18-37-30/step-00700.pickle,1087,365,19365,3344,18779,2967,3296
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_50rep_3_BlockerPercent_45_24-08-11-01-11-47/step-00700.pickle,633,998,10135,9580,4469,10097,13575
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_51rep_3_BlockerPercent_50_24-08-11-01-51-57/step-00700.pickle,463,1054,8400,7481,5654,15632,10712
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_52rep_3_BlockerPercent_55_24-08-11-02-30-26/step-00700.pickle,431,1085,14058,3328,4116,13497,12893
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_53rep_3_BlockerPercent_60_24-08-11-04-06-43/step-00700.pickle,349,1033,14027,5382,4412,12360,11210
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_54rep_3_BlockerPercent_65_24-08-11-05-12-50/step-00700.pickle,315,1125,8098,5553,2852,20536,10772
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_55rep_3_BlockerPercent_70_24-08-11-05-26-29/step-00700.pickle,248,1066,8721,5066,1540,20672,11887
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_56rep_3_BlockerPercent_75_24-08-11-06-47-33/step-00700.pickle,154,992,7706,7518,655,22003,10091
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_57rep_3_BlockerPercent_80_24-08-11-07-33-38/step-00700.pickle,116,861,4830,4873,1264,28862,8634
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_58rep_3_BlockerPercent_85_24-08-11-07-47-01/step-00700.pickle,59,632,2825,2973,369,37904,3612
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_59rep_3_BlockerPercent_90_24-08-11-08-00-45/step-00700.pickle,30,553,2890,2659,1464,37063,3810
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_5rep_1_BlockerPercent_20_24-07-05-18-51-17/step-00700.pickle,990,504,17426,7943,15109,2481,4983
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_60rep_3_BlockerPercent_95_24-08-11-08-14-29/step-00700.pickle,8,308,2011,449,28,39494,5856
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_61rep_4_BlockerPercent_0_24-08-11-08-27-56/step-00700.pickle,1316,0,23857,4321,19824,0,0
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_62rep_4_BlockerPercent_5_24-08-11-09-44-59/step-00700.pickle,1181,152,16455,6254,21176,710,3101
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_63rep_4_BlockerPercent_10_24-08-11-10-15-13/step-00700.pickle,1149,261,24308,2691,17807,233,3162
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_64rep_4_BlockerPercent_15_24-08-11-11-08-23/step-00700.pickle,1071,408,20228,4948,15338,1879,5557
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_65rep_4_BlockerPercent_20_24-08-11-11-22-11/step-00700.pickle,1088,519,19753,3841,10802,2468,11263
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_66rep_4_BlockerPercent_25_24-08-11-11-36-11/step-00700.pickle,891,594,17497,5252,11706,3975,9795
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_67rep_4_BlockerPercent_30_24-08-11-11-50-12/step-00700.pickle,811,744,19324,4242,10362,5614,8327
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_68rep_4_BlockerPercent_35_24-08-11-12-35-05/step-00700.pickle,768,832,20017,5635,8430,3407,10303
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_69rep_4_BlockerPercent_40_24-08-11-13-17-05/step-00700.pickle,635,921,11597,8576,8488,7046,12081
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_6rep_1_BlockerPercent_25_24-07-05-19-21-40/step-00700.pickle,877,580,12154,9383,15642,4584,6131
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_70rep_4_BlockerPercent_45_24-08-11-14-23-12/step-00700.pickle,612,1003,13548,5556,6770,8043,13907
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_71rep_4_BlockerPercent_50_24-08-11-15-13-11/step-00700.pickle,481,1002,9823,7867,6177,9574,14375
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_72rep_4_BlockerPercent_55_24-08-11-15-57-59/step-00700.pickle,454,1120,9736,6633,4662,15477,11149
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_73rep_4_BlockerPercent_60_24-08-11-16-45-19/step-00700.pickle,369,1086,11387,4356,8977,13347,9931
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_74rep_4_BlockerPercent_65_24-08-11-17-34-21/step-00700.pickle,272,1132,10316,5740,2397,17801,11962
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_75rep_4_BlockerPercent_70_24-08-11-18-10-20/step-00700.pickle,238,1040,10472,3425,2291,18644,12847
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_76rep_4_BlockerPercent_75_24-08-11-19-08-52/step-00700.pickle,194,955,5337,4417,1385,22673,14146
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_77rep_4_BlockerPercent_80_24-08-11-19-29-01/step-00700.pickle,120,832,5900,2377,2439,26037,11365
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_78rep_4_BlockerPercent_85_24-08-11-20-44-30/step-00700.pickle,70,755,6255,4096,1053,30536,5783
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_79rep_4_BlockerPercent_90_24-08-11-21-12-58/step-00700.pickle,21,525,1874,695,55,40012,5264
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_7rep_1_BlockerPercent_30_24-07-05-19-35-58/step-00700.pickle,856,698,15032,7623,14816,2724,7810
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_80rep_4_BlockerPercent_95_24-08-11-21-26-50/step-00700.pickle,11,289,674,1815,23,43061,2701
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_81rep_5_BlockerPercent_0_24-08-11-21-40-14/step-00700.pickle,1311,0,21625,3529,22805,0,0
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_82rep_5_BlockerPercent_5_24-08-11-21-54-18/step-00700.pickle,1186,124,26057,5477,14485,492,1482
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_83rep_5_BlockerPercent_10_24-08-11-22-08-34/step-00700.pickle,1182,228,23185,6695,14347,288,3329
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_84rep_5_BlockerPercent_15_24-08-12-00-00-57/step-00700.pickle,1117,363,24248,4364,16158,936,2984
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_85rep_5_BlockerPercent_20_24-08-12-01-14-04/step-00700.pickle,1051,519,19422,3888,10877,6528,7731
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_86rep_5_BlockerPercent_25_24-08-12-02-14-26/step-00700.pickle,895,591,14833,6237,10525,5033,10975
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_87rep_5_BlockerPercent_30_24-08-12-03-00-14/step-00700.pickle,847,727,16118,8974,9979,4751,8048
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_88rep_5_BlockerPercent_35_24-08-12-04-15-34/step-00700.pickle,739,851,14205,6626,10471,6478,10271
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_89rep_5_BlockerPercent_40_24-08-12-05-16-39/step-00700.pickle,669,944,10529,4202,6764,13550,13065
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_8rep_1_BlockerPercent_35_24-07-05-20-42-06/step-00700.pickle,742,825,13030,6509,6026,9117,13378
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_90rep_5_BlockerPercent_45_24-08-12-05-30-28/step-00700.pickle,589,1002,12470,4574,4306,15145,11461
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_91rep_5_BlockerPercent_50_24-08-12-06-35-56/step-00700.pickle,503,1024,8643,5050,4812,16558,12670
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_92rep_5_BlockerPercent_55_24-08-12-07-21-11/step-00700.pickle,433,1051,12056,6860,4762,12123,12122
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_93rep_5_BlockerPercent_60_24-08-12-07-55-42/step-00700.pickle,359,1015,10992,7980,3417,17147,8471
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_94rep_5_BlockerPercent_65_24-08-12-08-26-26/step-00700.pickle,257,1049,7985,3633,4158,18738,13531
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_95rep_5_BlockerPercent_70_24-08-12-09-36-55/step-00700.pickle,214,1117,7513,3873,2029,23186,11319
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_96rep_5_BlockerPercent_75_24-08-12-10-10-35/step-00700.pickle,165,920,4005,4336,2088,27202,10654
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_97rep_5_BlockerPercent_80_24-08-12-13-28-49/step-00700.pickle,116,852,3929,2786,1888,25845,13668
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_98rep_5_BlockerPercent_85_24-08-12-14-15-28/step-00700.pickle,58,703,2034,1984,163,32209,11339
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_99rep_5_BlockerPercent_90_24-08-12-14-30-07/step-00700.pickle,19,505,2258,4270,105,38715,2763
C:/Users/helen/CellModeller/Examples/Data_Blockertransfer_No_Growth_Dep/Sim_number_9rep_1_BlockerPercent_40_24-07-05-23-45-39/step-00700.pickle,633,902,15206,6431,7070,8798,10506
